folder,ra_deg,dec_deg,gmag
TRES-3,268.4890048055868,37.216856114097084,11.438218116760254
TRES-3,268.30433503422995,37.21173673367706,11.469913482666016
TRES-3,268.25418283864514,37.716963724484266,11.477269172668457
TRES-3,268.2393709926909,37.36132020467004,11.482199668884277
TRES-3,268.2924414551681,37.3269253687834,11.482709884643555
TRES-3,268.1150946088126,37.712422267260024,11.520998001098633
TRES-3,268.1049871101677,37.572785336607105,11.556636810302734
TRES-3,267.99632805619166,37.86677131371192,11.641371726989746
TRES-3,267.47409410208695,37.70007818174629,11.671173095703125
TRES-3,268.4685507643567,37.58645292990769,11.768960952758789
TRES-3,268.18950612771243,37.946505651620534,11.793787002563477
TRES-3,267.6893691984113,37.81672319486897,11.81638240814209
TRES-3,268.3085180333561,37.27684989198616,11.885624885559082
TRES-3,267.5058950692662,37.45788866801325,11.902070999145508
TRES-3,268.4464342122612,37.359943363081,11.929439544677734
TRES-3,267.3471997130451,37.50289397584862,11.95218276977539
TRES-3,268.1305165316476,37.38620280574386,11.961220741271973
TRES-3,268.29300256129284,37.5633686803063,12.04768180847168
TRES-3,267.9237227377448,37.36373173545335,12.094537734985352
TRES-3,267.9270122134888,37.590149802831846,12.099832534790039
TRES-3,267.6374167828801,37.12550114726051,12.112911224365234
TRES-3,268.1959803909549,37.55444585595297,12.114279747009277
TRES-3,267.5714361811103,37.68518202159181,12.116884231567383
TRES-3,267.79544990878526,37.29484128058214,12.137956619262695
TRES-3,268.0291063197835,37.5463315901179,12.191128730773926
TRES-3,268.509555709696,37.53214304434973,12.198477745056152
TRES-3,268.14754288620827,37.10902473079867,12.199137687683105
TRES-3,267.58657746067524,37.74996733833951,12.212008476257324
TRES-3,267.9838176585008,37.63325479962808,12.247771263122559
TRES-3,267.97953471087806,37.21515311195098,12.28199577331543
TRES-3,268.0897031956722,37.340583802127554,12.285727500915527
TRES-3,267.46213671938295,37.7203320556856,12.285992622375488
TRES-3,268.401739396994,37.65080032403446,12.295083045959473
TRES-3,268.6634413787568,37.57549406531853,12.306116104125977
TRES-3,267.9934456582091,37.05185805518043,12.34276008605957
TRES-3,267.73258907646164,37.57067493627166,12.343547821044922
TRES-5,304.7334424086873,59.489646702105404,7.91488790512085
TRES-5,305.914563919137,59.49158421400175,8.612142562866211
TRES-5,305.80820956217775,59.777514362841835,8.614492416381836
TRES-5,304.37622394159587,59.74097344956473,8.634417533874512
TRES-5,305.1847680444032,59.32163706227385,8.896979331970215
TRES-5,304.7546801590571,59.49640367513643,9.019913673400879
TRES-5,306.2512327129603,59.28356626667201,9.145681381225586
TRES-5,304.66566080334644,59.228321381259484,9.206327438354492
TRES-5,304.47357255693606,59.79277771428847,9.209700584411621
TRES-5,304.4978063032094,59.242565709325284,9.21989631652832
TRES-5,305.6050081342775,59.339137716892054,9.35549545288086
TRES-5,304.4698625524937,59.784468793005196,9.48488998413086
TRES-5,304.3295143905944,59.17250696179319,9.57221794128418
TRES-5,305.5350208028841,59.397091397467086,9.687667846679688
TRES-5,305.0493710489522,59.57311590727686,9.737736701965332
TRES-5,305.5483145711024,59.941159010473534,9.795684814453125
TRES-5,304.4465406348148,59.42461333996757,9.89245891571045
TRES-5,306.06217350446065,59.655661866145984,9.979798316955566
TRES-5,305.35300041132797,59.14308818476203,9.995796203613281
TRES-5,305.26702493717374,59.25110240981669,10.02383804321289
TRES-5,304.5727175023767,59.105297482127156,10.051897048950195
TRES-5,305.62820053294837,59.58773551370398,10.082119941711426
TRES-5,305.4900492334074,59.3996462724757,10.16772174835205
TRES-5,305.4665461315377,59.09668596949044,10.238967895507812
TRES-5,304.649028784846,59.73694755733245,10.316315650939941
TRES-5,305.48548943157147,59.89285323145014,10.363299369812012
TRES-5,304.97645221465007,59.79720781391479,10.387165069580078
TRES-5,305.1653869935209,58.980765670889795,10.395137786865234
TRES-5,306.0870437585154,59.555160195761594,10.40999984741211
TRES-5,305.3974632276035,59.07047130848963,10.492027282714844
TRES-5,304.83804285766865,59.334574855859984,10.508699417114258
TRES-5,305.07223564125604,59.752966085483486,10.795625686645508
TRES-5,305.2228818768528,59.66439395818754,10.79692268371582
TRES-5,305.22419297432054,58.96864224464602,10.83288288116455
TRES-5,304.74251197928623,58.97120648657669,10.847099304199219
TRES-5,304.1633462949964,59.521730470499705,10.862695693969727
TRES-5,306.09072269439355,59.455889751083355,10.866684913635254
TRES-5,304.60553851743555,59.15493512647064,10.929179191589355
TRES-5,305.3398145593775,59.57916091540664,10.938732147216797
TRES-5,306.1945732593433,59.22389045683314,10.947389602661133
TRES-5,305.0645426358555,59.384233795263064,10.96769905090332
TRES-5,305.07545884450457,59.25434660114465,11.046858787536621
TRES-5,304.26969411716664,59.36547458651695,11.052425384521484
TRES-5,305.26559905779544,59.32520859837487,11.069045066833496
TRES-5,305.4755788733609,59.113395150108744,11.08545207977295
TRES-5,304.54578314850676,59.54331846545899,11.100875854492188
TRES-5,306.1126448968467,59.648434269095404,11.101758003234863
TRES-5,306.229345345255,59.44930845050106,11.103377342224121
TRES-5,304.79346332151414,59.69140412838641,11.169084548950195
TRES-5,304.68306559955084,59.18362508957588,11.186053276062012
TRES-5,305.61332137030934,59.393961385643955,11.230947494506836
TRES-5,305.61354905419404,59.39406928949273,11.233710289001465
TRES-5,305.62614470373126,59.242225598519106,11.249336242675781
TRES-5,305.6586778741628,59.615767975081226,11.281530380249023
TRES-5,305.39457348516225,59.856521570500895,11.32332706451416
TRES-5,304.5937521544795,59.12315630975972,11.325702667236328
TRES-5,305.27340522279206,59.166060695210874,11.343700408935547
TRES-5,304.6071983360464,59.56669362435979,11.344145774841309
TRES-5,304.66606799337967,59.76433685956257,11.392334938049316
TRES-5,305.38724771284546,59.80435747370438,11.398488998413086
TRES-5,304.90716509847016,59.36666925984866,11.455182075500488
TRES-5,305.14992647831724,59.0838961394701,11.467222213745117
