night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-18,Qatar-1,session_01,Qatar-1260818091515.fits,61270.386,355.77,152.48,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818091816.fits,61270.388,358.11,150.31,5.4,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092117.fits,61270.39,358.17,148.66,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092415.fits,61270.392,358.74,153.42,5.4,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092715.fits,61270.394,363.57,152.2,3.2,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093015.fits,61270.396,362.49,150.86,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818093316.fits,61270.398,361.3,149.67,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818093615.fits,61270.4,364.47,149.41,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093916.fits,61270.402,367.07,153.01,4.0,no
2026-08-18,Qatar-1,session_01,Qatar-1260818094216.fits,61270.404,366.71,151.46,5.8,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818094516.fits,61270.406,365.88,154.31,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818094815.fits,61270.409,368.12,150.93,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818095116.fits,61270.411,371.3,154.54,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818095416.fits,61270.413,371.69,158.05,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818095715.fits,61270.415,372.36,157.24,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818100015.fits,61270.417,375.2,158.14,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818100315.fits,61270.419,375.73,157.23,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818100616.fits,61270.421,378.06,153.21,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818100915.fits,61270.423,377.71,155.48,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818101215.fits,61270.425,380.01,161.48,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818101515.fits,61270.427,384.6,158.3,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818101817.fits,61270.429,385.52,156.01,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818102115.fits,61270.431,385.85,156.08,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818102415.fits,61270.434,387.99,159.65,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818102716.fits,61270.436,389.69,158.75,5.4,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818103015.fits,61270.438,392.09,158.04,3.6,no
2026-08-18,Qatar-1,session_01,Qatar-1260818103315.fits,61270.44,392.09,163.48,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818103615.fits,61270.442,394.37,162.25,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818103916.fits,61270.444,394.89,159.78,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818104216.fits,61270.446,398.15,158.28,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818104515.fits,61270.448,398.22,164.84,13.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818104815.fits,61270.45,399.25,165.07,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818105115.fits,61270.452,400.61,158.81,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818105415.fits,61270.454,403.12,166.83,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818105715.fits,61270.456,402.89,165.68,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818110015.fits,61270.459,403.61,162.89,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818110316.fits,61270.461,405.68,166.57,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818110615.fits,61270.463,407.38,164.41,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818110917.fits,61270.465,409.56,165.68,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818111215.fits,61270.467,410.53,168.86,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818111516.fits,61270.469,413.49,167.73,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818111816.fits,61270.471,413.54,166.31,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818112115.fits,61270.473,412.33,172.07,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818112415.fits,61270.475,414.64,178.1,2.9,no
2026-08-18,Qatar-1,session_01,Qatar-1260818112715.fits,61270.477,416.12,175.18,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818113015.fits,61270.479,415.66,177.49,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818113315.fits,61270.481,418.28,175.46,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818113615.fits,61270.484,418.87,173.25,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818113916.fits,61270.486,420.25,175.98,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818114215.fits,61270.488,420.8,175.91,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818114516.fits,61270.49,420.27,184.33,8.1,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818114815.fits,61270.492,423.6,182.14,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818115115.fits,61270.494,425.94,179.9,2.7,no
2026-08-18,Qatar-1,session_01,Qatar-1260818115415.fits,61270.496,426.16,184.1,2.6,no
2026-08-18,Qatar-1,session_01,Qatar-1260818120204.fits,61270.501,426.84,261.68,2.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818120955.fits,61270.507,428.37,264.0,2.1,no
2026-08-20,TRES-5,session_01,TRES-5260820083615.fits,61272.359,304.49,182.4,6.7,yes
2026-08-20,TRES-5,session_01,TRES-5260820083915.fits,61272.361,307.39,182.01,4.7,yes
2026-08-20,TRES-5,session_01,TRES-5260820084216.fits,61272.363,307.95,182.08,4.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820084515.fits,61272.365,308.71,180.55,5.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820084815.fits,61272.367,310.13,187.38,8.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820085115.fits,61272.369,312.62,187.88,11.8,yes
2026-08-20,TRES-5,session_01,TRES-5260820085416.fits,61272.371,314.15,184.37,9.9,yes
2026-08-20,TRES-5,session_01,TRES-5260820085716.fits,61272.373,312.98,183.56,5.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820090015.fits,61272.375,314.74,184.77,7.2,yes
2026-08-20,TRES-5,session_01,TRES-5260820090315.fits,61272.377,315.61,185.64,6.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820090617.fits,61272.379,314.94,190.25,6.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820090915.fits,61272.381,316.85,189.19,5.2,yes
2026-08-20,TRES-5,session_01,TRES-5260820091215.fits,61272.384,317.12,187.54,6.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820091515.fits,61272.386,320.36,186.42,6.1,yes
2026-08-20,TRES-5,session_01,TRES-5260820091815.fits,61272.388,324.01,184.44,5.8,yes
2026-08-20,TRES-5,session_01,TRES-5260820092116.fits,61272.39,320.96,190.61,7.9,yes
2026-08-20,TRES-5,session_01,TRES-5260820092415.fits,61272.392,322.82,188.47,9.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820092716.fits,61272.394,325.0,187.45,9.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820093016.fits,61272.396,324.6,184.63,8.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820093315.fits,61272.398,326.12,186.27,6.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820093615.fits,61272.4,328.68,190.26,6.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820093915.fits,61272.402,329.23,189.42,9.2,yes
2026-08-20,TRES-5,session_01,TRES-5260820094215.fits,61272.404,332.52,188.54,5.2,yes
2026-08-20,TRES-5,session_01,TRES-5260820094516.fits,61272.406,333.0,186.59,2.2,no
2026-08-20,TRES-5,session_01,TRES-5260820095115.fits,61272.411,337.69,190.49,2.7,no
2026-08-20,TRES-5,session_01,TRES-5260820095415.fits,61272.413,337.47,189.63,2.7,no
2026-08-20,TRES-5,session_01,TRES-5260820095715.fits,61272.415,338.89,187.5,2.0,no
2026-08-20,TRES-5,session_01,TRES-5260820100616.fits,61272.421,347.29,186.5,2.2,no
2026-08-20,TRES-5,session_01,TRES-5260820100915.fits,61272.423,343.0,189.94,2.5,no
